CNTYNAME,PSTL_CODE,YEAR,DATE_COL,ELEVATION,UID,SITE_ID,UNIQUE_ID,LAT_DD83,LON_DD83
Roger Mills,OK,2018,6/20/2018,663.935,2014737,NRS18_OK_10062,NRS_OK-10090,35.54538886,-99.72270533
Craig,OK,2018,6/25/2018,240.81,2012488,NRS18_OK_10431,NRS_OK-10206,36.90216839,-95.16425506
Bryan,OK,2018,7/2/2018,140.37,2012489,NRS18_OK_10025,NRS_OK-10180,33.92944924,-96.0702418
Green,WI,2018,7/2/2018,241.03,2012490,NRS18_WI_10091,NRS_WI-10211,42.5368677,-89.39556013
Marinette,WI,2018,7/12/2018,254.75,2012491,NRS18_WI_10006,NRS_WI-10087,45.49625722,-87.98249295
Lincoln,OK,2018,7/16/2018,266.11,2012492,NRS18_OK_10001,NRS_OK-10053,35.7493094,-97.13433463
Grant,OK,2018,7/16/2018,316.95,2012493,NRS18_OK_11085,NRS_OK-10220,36.71441566,-97.79295371
Clark,WI,2018,7/16/2018,339.84,2012494,NRS18_WI_10053,NRS_WI-10201,44.55819594,-90.32250897
Logan,OK,2018,7/17/2018,286.49,2012495,NRS18_OK_10053,NRS_OK-10196,35.88536261,-97.61348318
Roger Mills,OK,2018,7/17/2018,582.48,2012496,NRS18_OK_10050,NRS_OK-10047,35.92581867,-99.51524603
Eau Claire,WI,2018,7/17/2018,287.44,2012497,NRS18_WI_10036,NRS_WI-10184,44.68915569,-91.36509269
Pierce,WI,2018,7/18/2018,288.12,2012498,NRS18_WI_10038,NRS_WI-10186,44.7900719,-92.52999391
Dunn,WI,2018,7/19/2018,259.135,2012499,NRS18_WI_10019,NRS_WI-10158,44.81843538,-91.87926357
Watauga,NC,2018,7/19/2018,794.2,2012500,NRS18_NC_10014,NRS_NC-10122,36.27389536,-81.87095586
Le Flore,OK,2018,7/23/2018,129.95,2012501,NRS18_OK_10023,NRS_OK-10107,35.1481488,-94.70189843
Choctaw,OK,2018,7/24/2018,120.15,2012502,NRS18_OK_10029,NRS_OK-10064,33.91221633,-95.54936002
Osage,OK,2018,8/28/2018,266.59,2012503,NRS18_OK_10018,NRS_OK-10155,36.76012251,-96.2895561
McCurtain,OK,2018,9/4/2018,113.33,2012504,NRS18_OK_10022,NRS_OK-10102,34.06699129,-94.90528581
New Castle,DE,2018,9/5/2018,1.2,2012505,NRS18_DE_10002,NRS_DE-10009,39.70012709,-75.63338589
Creek,OK,2018,9/10/2018,234.91,2012506,NRS18_OK_10003,NRS_OK-10091,35.96545316,-96.36807127
McCurtain,OK,2018,9/11/2018,206.06,2012507,NRS18_OK_10830,NRS_OK-10212,34.45096028,-94.68104222
Pushmataha,OK,2018,9/12/2018,178.28,2012508,NRS18_OK_10034,NRS_OK-10056,34.63573085,-95.1215903
New Castle,DE,2018,9/19/2018,1.2,2012509,NRS18_DE_10002,NRS_DE-10009,39.70012709,-75.63338589
Washita,OK,2019,6/3/2019,451.24,2012510,NRS18_OK_11422,NRS_OK-10226,35.3731575,-98.67906497
Rogers,OK,2019,9/17/2019,163.99,2012511,NRS18_OK_10340,NRS_OK-10205,36.27028594,-95.72555906
