FAC_DET_REP,SITE_ADDRESS,Longitude,ID,EPA_REGISTRY_ID,SITE_CITY,SITE_ZIP,Latitude,CDR_SUB_CNT,Public_CDR_SUBMISSIONS_SITE_NAME,County-State
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110001528099,1 HESS PLAZA,-74.29455,1.0,110001528099,WOODBRIDGE,07095-1299,40.544770001,12.0,1 HESS PLAZA,Middlesex-NJ
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110033238663,16303 RAMSEY RD,-95.05295,2.0,110033238663,CROSBY,775325988,29.918690001,23.0,16303 RAMSEY ROAD,Harris-TX
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110033258757,1632 HADEN RD,-95.18085,3.0,110033258757,HOUSTON,770156402,29.765970001,16.0,1632 HADEN RD,Harris-TX
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110014323188,25 WEST 45TH STREET,-73.9807,4.0,110014323188,NEW YORK,10036-4902,40.755910001,12.0,25 WEST 45TH ST BUILDING,New York city-NY
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110033220761,2406 LYNCH RD,-87.521697124,5.0,110033220761,EVANSVILLE,477112953,38.013416824,1.0,2504 LYNCH ROAD EVANSVILLE IN 47711,Vanderburgh-IN
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110015205972,30 MONTGOMERY ST,-74.0353,6.0,110015205972,JERSEY CITY,07302,40.716610001,12.0,30 MONTGOMERY STREET OFFICE BUILDING,Hudson County-NJ
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110038951211,915 ADAMS ST SE,-94.362,7.0,110038951211,HUTCHINSON,55350,44.879360001,1.0,3M - HUTCHINSON TAPE MANUFACTURING PLANT,McLeod-MN
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110000599273,4501 HIGHWAY 377 SOUTH,-98.99996,8.0,110000599273,BROWNWOOD,76801-5907,31.670280001,1.0,3M CO - BROWNWOOD,Brown-TX
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110000477467,18750 MINNESOTA ROAD,-117.511312239,9.0,110000477467,CORONA,92881-4313,33.845949256,1.0,3M CO - CORONA,Riverside-CA
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110000354161,1400 PERIMETER ROAD,-82.35851,10.0,110000354161,GREENVILLE,29605-5498,34.744110001,1.0,3M CO - GREENVILLE,Greenville-SC
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110000589159,6675 US HIGHWAY 43,-87.899855015,11.0,110000589159,GUIN,35563,33.966719504,1.0,3M CO - GUIN,Marion-AL
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110000412697,3406 E. PLEASANT ST.,-93.082863267,12.0,110000412697,KNOXVILLE,50138,41.320879422,1.0,3M CO - KNOXVILLE,Marion-IA
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110000597952,HIGWAY 365 AND WALTERS ROAD,-92.2726,13.0,110000597952,LITTLE ROCK,72206,34.658850001,1.0,3M CO - LITTLE ROCK,Pulaski-AR
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110000443805,2120 E. AUSTIN,-94.32925,14.0,110000443805,NEVADA,64772-4212,37.836370001,1.0,3M CO - NEVADA,Vernon-MO
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110012275484,4191 HIGHWAY 87 SOUTH,-79.10521,15.0,110012275484,MONCURE,27559,35.639440001,3.0,3M CO - PITTSBORO,Chatham-NC
