 FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,CI*Rank([rank note]),Lower CI (CI*Rank),Upper CI (CI*Rank),Average Annual Count,Recent Trend,Recent 5-Year Trend ([trend note]) in Incidence Rates,Lower 95% Confidence Interval.1,Upper 95% Confidence Interval.1,County-State
12125,433.4,376.9,496.1,N/A ,1,1,43,falling,-4.1,-6.3,-1.8,union-fl
51159,339.8,274.9,416.1,N/A ,1,2,19,*,*,*,*,richmond-va
51640,198.4,139,274.3,N/A ,1,75,7,rising,7.3,1.5,13.4,galax city-va
51678,195,121.6,294.2,N/A ,1,116,5,*,*,*,*,lexington city-va
21197,195,153.3,244.5,N/A ,1,55,15,rising,3.6,1.5,5.8,powell-ky
54101,191.9,139.5,257.7,N/A ,1,38,9,rising,4.2,0.3,8.3,webster-wv
5147,189.9,130.4,267.1,N/A ,1,57,7,*,*,*,*,woodruff-ar
31051,187.3,123.2,271.8,N/A ,1,42,5,*,*,*,*,dixon-ne
21071,186.1,161.6,213.3,N/A ,1,28,42,rising,3.5,1.9,5,floyd-ky
54059,181.1,151.1,215.3,N/A ,1,22,26,stable,2.4,-0.2,5.1,mingo-wv
31169,181,112.8,274.2,N/A ,1,45,4,*,*,*,*,thayer-ne
30065,180.4,108.1,281.9,N/A ,1,29,4,stable,4.4,-0.5,9.5,musselshell-mt
21189,179.8,114.7,268.4,N/A ,1,117,5,stable,2.4,-1,5.9,owsley-ky
12041,174.4,138.7,216.2,N/A ,2,22,17,rising,3.3,0.1,6.6,gilchrist-fl
1085,173.6,126.7,231.6,N/A ,1,54,9,stable,2,-0.8,5,lowndes-al
19147,173.4,123.6,235.8,N/A ,1,81,8,rising,3.2,1,5.3,palo alto-ia
38057,172.7,122,237.1,N/A ,1,12,8,stable,3.3,-0.8,7.6,mercer-nd
19107,172,125.8,229.3,N/A ,1,76,9,rising,3.2,1,5.4,keokuk-ia
5075,170.7,134.1,213.9,N/A ,1,34,15,stable,3.1,-0.7,7.1,lawrence-ar
21135,170,131.8,215.7,N/A ,1,93,14,rising,3.4,1.1,5.7,lewis-ky
21057,169.5,113.8,242.3,N/A ,1,114,6,rising,3.5,0.4,6.7,cumberland-ky
54063,169.4,128.7,218.8,N/A ,1,45,12,rising,4.4,0.7,8.2,monroe-wv
51017,168.2,101.6,263.9,N/A ,1,124,4,*,*,*,*,bath-va
21031,167.2,128.7,213.6,N/A ,1,103,13,stable,0.8,-1.7,3.3,butler-ky
17059,166.3,106.4,248,N/A ,1,93,5,stable,0.6,-2.9,4.1,gallatin-il
8095,166.3,96.3,264.9,N/A ,1,41,3,*,*,*,*,phillips-co
21193,166.3,139.5,196.7,N/A ,1,65,27,rising,2,0.5,3.5,perry-ky
40075,165.8,117.7,226.6,N/A ,1,55,8,stable,3.1,-0.9,7.3,kiowa-ok
2290,164.9,103.7,247,N/A ,1,13,5,stable,3.4,-0.9,7.9,yukon-koyukuk census area-ak
21217,164.6,135.3,198.1,N/A ,1,79,23,rising,2.8,0.7,4.9,taylor-ky
17151,164.4,94.7,267.7,N/A ,1,95,3,*,*,*,*,pope-il
51580,164.3,106.9,241.2,N/A ,2,122,5,*,*,*,*,covington city-va
54045,163.7,139.3,191.1,N/A ,1,31,32,stable,1.5,-0.3,3.4,logan-wv
47121,163.3,123.1,212.5,N/A ,1,70,11,stable,2.7,-0.4,5.9,meigs-tn
21203,163,129.5,202.5,N/A ,1,93,17,rising,3.3,1.2,5.6,rockcastle-ky
31131,162.1,126.5,204.5,N/A ,1,31,14,stable,1.4,-1.8,4.8,otoe-ne
48435,161.5,95,255.7,N/A ,1,196,4,*,*,*,*,sutton-tx
17187,161.2,126.8,201.8,N/A ,1,68,15,rising,3.5,1.1,6,warren-il
54087,160.7,123.8,205.3,N/A ,1,46,13,stable,1.8,-0.5,4.2,roane-wv
54105,160.4,104.6,235.5,N/A ,1,53,5,stable,3.9,-0.5,8.6,wirt-wv
21039,159.8,98.7,243.8,N/A ,1,118,4,stable,1,-2.9,5.1,carlisle-ky
19029,159.7,119.9,208.2,N/A ,1,75,11,rising,3.2,1.4,5,cass-ia
19039,159.5,114.7,215.5,N/A ,1,88,8,stable,2,-0.1,4.1,clarke-ia
17171,158.9,100.5,239,N/A ,1,95,5,stable,2.3,-1.5,6.2,scott-il
17129,158.6,119.5,206.5,N/A ,1,85,11,stable,2.7,-0.1,5.6,menard-il
31143,158.4,97.6,242.4,N/A ,1,48,4,stable,2.9,-1.9,8,polk-ne
