CHEMICAL_NAME,CHEMICAL_ID_NUMBER,County-State,SITE_CITY,Public_CDR_SUBMISSIONS_SITE_NAME,is_rising,count
"Ethene, Chloro-",000075-01-4,iberville-la,Plaquemine,The Dow Chemical Company,0,136
"1,2-Propanediol",000057-55-6,iberville-la,Plaquemine,The Dow Chemical Company,0,136
Ethane,000074-84-0,iberville-la,Plaquemine,The Dow Chemical Company,0,136
Ethene,000074-85-1,iberville-la,Plaquemine,The Dow Chemical Company,0,136
"Methane, chloro-",000074-87-3,iberville-la,Plaquemine,The Dow Chemical Company,0,136
"Ethane, 1,1-dichloro-",000075-34-3,iberville-la,Plaquemine,The Dow Chemical Company,0,136
"Propane, 1,2-dichloro-",000078-87-5,iberville-la,Plaquemine,The Dow Chemical Company,0,136
"Ethane, 1,2-dichloro-",000107-06-2,iberville-la,Plaquemine,The Dow Chemical Company,0,136
Octane,000111-65-9,iberville-la,Plaquemine,The Dow Chemical Company,0,136
1-propene,000115-07-1,iberville-la,Plaquemine,The Dow Chemical Company,0,136
"Ethane, chloro derivs.",068411-72-3,iberville-la,Plaquemine,The Dow Chemical Company,0,136
"Aromatic hydrocarbons, C6-8, naphtha-raffinate pyrolyzate-derived",068475-70-7,iberville-la,Plaquemine,The Dow Chemical Company,0,136
"Hydrocarbons, C4, ethylene-manuf.-by-product",068476-52-8,iberville-la,Plaquemine,The Dow Chemical Company,0,136
"Hydrocarbons, ethylene-manuf.-by-product distn. residues",068921-67-5,iberville-la,Plaquemine,The Dow Chemical Company,0,136
"Hydrocarbons, C5-unsatd.",068956-55-8,iberville-la,Plaquemine,The Dow Chemical Company,0,136
Hydrochloric acid,007647-01-0,iberville-la,Plaquemine,The Dow Chemical Company,0,136
Chlorine,007782-50-5,iberville-la,Plaquemine,The Dow Chemical Company,0,136
"Propanol, [(1-methyl-1,2-ethanediyl)bis(oxy)]bis-",024800-44-0,iberville-la,Plaquemine,The Dow Chemical Company,0,136
"Propanol, oxybis-",025265-71-8,iberville-la,Plaquemine,The Dow Chemical Company,0,136
"Ethanol, 2-(diethylamino)-",100-37-8,iberville-la,SAINT GABRIEL,TAMINCO INC,0,136
"Benzene, ethyl-",100-41-4,iberville-la,Carville,Total Petrochemicals & Refining USA Inc. Styrene Joint Venture,0,136
"Benzene, ethenyl-",100-42-5,iberville-la,Carville,Total Petrochemicals & Refining USA Inc. Styrene Joint Venture,0,136
"Ethanol, 2,2'-(butylimino)bis-",102-79-4,iberville-la,SAINT GABRIEL,TAMINCO INC,0,136
"Ethanol, 2-(dibutylamino)-",102-81-8,iberville-la,SAINT GABRIEL,TAMINCO INC,0,136
"Ethanol, 2,2'-(methylimino)bis-",105-59-9,iberville-la,Plaquemine,The Dow Chemical Company,0,136
"Ethanol, 2,2'-(methylimino)bis-",105-59-9,iberville-la,SAINT GABRIEL,TAMINCO INC,0,136
"8-Oxa-3,5-dithia-4-stannatetradecanoic acid, 4,4-dibutyl-10-ethyl-7-oxo-, 2-ethylhexyl este",10584-98-2,iberville-la,Plaquemine,"Georgia Gulf Chemicals & Vinyls, LLC",0,136
Butane,106-97-8,iberville-la,PLAQUEMINE,CROSSTEX LIG LIQUIDS LLC - PLAQUEMINE GAS PLANT,0,136
"Ethane, 1,2-dichloro-",107-06-2,iberville-la,Plaquemine,"Georgia Gulf Chemicals & Vinyls, LLC",0,136
"Ethane, 1,2-dichloro-",107-06-2,iberville-la,PLAQUEMINE,SHINTECH PLAQUEMINE PLANT,0,136
"Ethanol, 2-(dimethylamino)-",108-01-0,iberville-la,SAINT GABRIEL,TAMINCO INC,0,136
"1,3,5-Triazine, 2,4,6-trichloro-",108-77-0,iberville-la,SAINT GABRIEL,SYNGENTA CROP PROTECTION INC SAINT GABRIEL FACILITY,0,136
"1,2-Ethanediol",107-21-1,iberville-la,Plaquemine,The Dow Chemical Company,0,136
"Benzene, methyl-",108-88-3,iberville-la,Carville,Total Petrochemicals & Refining USA Inc. Styrene Joint Venture,0,136
"1,3-Propanediamine, N1,N1-dimethyl-",109-55-7,iberville-la,SAINT GABRIEL,TAMINCO INC,0,136
"Ethanol, 2-[(1-methylethyl)amino]-",109-56-8,iberville-la,SAINT GABRIEL,TAMINCO INC,0,136
"Benzene, chloro-",108-90-7,iberville-la,PLAQUEMINE,SHINTECH PLAQUEMINE PLANT,0,136
Phenol,108-95-2,iberville-la,Plaquemine,"Georgia Gulf Chemicals & Vinyls, LLC",0,136
"Ethanol, 2-(methylamino)-",109-83-1,iberville-la,Plaquemine,The Dow Chemical Company,0,136
"Ethanol, 2-(methylamino)-",109-83-1,iberville-la,SAINT GABRIEL,TAMINCO INC,0,136
"Ethanamine, N-ethyl-",109-89-7,iberville-la,SAINT GABRIEL,TAMINCO INC,0,136
"Octadecanamide, N,N'-1,2-ethanediylbis-",110-30-5,iberville-la,Plaquemine,"Georgia Gulf Chemicals & Vinyls, LLC",0,136
"2-Propanol, 1,1'-iminobis-",110-97-4,iberville-la,Plaquemine,The Dow Chemical Company,0,136
"2-Butene, 1,4-dichloro-, (2E)-",110-57-6,iberville-la,PLAQUEMINE,SHINTECH PLAQUEMINE PLANT,0,136
"Ethanol, 2-(butylamino)-",111-75-1,iberville-la,SAINT GABRIEL,TAMINCO INC,0,136
"Methane, 1,1'-oxybis-",115-10-6,iberville-la,Plaquemine,The Dow Chemical Company,0,136
"Ethanamine, N,N-diethyl-",121-44-8,iberville-la,SAINT GABRIEL,TAMINCO INC,0,136
"2-Propanol, 1,1',1''-nitrilotris-",122-20-3,iberville-la,Plaquemine,The Dow Chemical Company,0,136
"1,3-Butadiene, 2-chloro-",126-99-8,iberville-la,PLAQUEMINE,SHINTECH PLAQUEMINE PLANT,0,136
"Ethene, 1,1,2,2-tetrachloro-",127-18-4,iberville-la,PLAQUEMINE,SHINTECH PLAQUEMINE PLANT,0,136
"Ethene, 1,1,2,2-tetrachloro-",127-18-4,iberville-la,Plaquemine,The Dow Chemical Company,0,136
Calcium hydroxide (Ca(OH)2),1305-62-0,iberville-la,SAINT GABRIEL,SYNGENTA CROP PROTECTION INC SAINT GABRIEL FACILITY,0,136
Sodium hydroxide (Na(OH)),1310-73-2,iberville-la,ST. GABRIEL,ALTIVIA ST. GABRIEL,0,136
Sodium hydroxide (Na(OH)),1310-73-2,iberville-la,PLAQUEMINE,SHINTECH PLAQUEMINE PLANT,0,136
Sodium hydroxide (Na(OH)),1310-73-2,iberville-la,ST. GABRIEL,PIONEER AMERICAS LLC (DBA OLIN CHLOR ALKALI PRODUCTS),0,136
Sodium hydroxide (Na(OH)),1310-73-2,iberville-la,Plaquemine,"Georgia Gulf Chemicals & Vinyls, LLC",0,136
Sodium hydroxide (Na(OH)),1310-73-2,iberville-la,Plaquemine,The Dow Chemical Company,0,136
Limestone,1317-65-3,iberville-la,Plaquemine,"Georgia Gulf Chemicals & Vinyls, LLC",0,136
Hydrogen,1333-74-0,iberville-la,ST. GABRIEL,PIONEER AMERICAS LLC (DBA OLIN CHLOR ALKALI PRODUCTS),0,136
Asbestos,1332-21-4,iberville-la,Plaquemine,"Georgia Gulf Chemicals & Vinyls, LLC",0,136
Titanium oxide (TiO2),13463-67-7,iberville-la,Plaquemine,"Georgia Gulf Chemicals & Vinyls, LLC",0,136
"Octadecanoic acid, calcium salt (2:1)",1592-23-0,iberville-la,Plaquemine,"Georgia Gulf Chemicals & Vinyls, LLC",0,136
"8-Oxa-3,5-dithia-4-stannatetradecanoic acid, 4-butyl-10-ethyl-4-[[2-[(2-e thylhexyl)oxy]-2-",26864-37-9,iberville-la,Plaquemine,"Georgia Gulf Chemicals & Vinyls, LLC",0,136
"2H-1,4-Benzoxazine, 3,4-dihydro-3-methyl-",32329-20-7,iberville-la,SAINT GABRIEL,SYNGENTA CROP PROTECTION INC SAINT GABRIEL FACILITY,0,136
"Ethane, 1,1,1,2,2-pentafluoro-",354-33-6,iberville-la,SAINT GABRIEL,MEXICHEM FLUOR INC.,0,136
"Ethanamine, N-ethyl-N-hydroxy-",3710-84-7,iberville-la,SAINT GABRIEL,TAMINCO INC,0,136
"Ethanol, 2-[(1,1-dimethylethyl)amino]-",4620-70-6,iberville-la,SAINT GABRIEL,TAMINCO INC,0,136
"Ethene, 1,2-dichloro-",540-59-0,iberville-la,PLAQUEMINE,SHINTECH PLAQUEMINE PLANT,0,136
"Benzene, 1,3-dichloro-",541-73-1,iberville-la,PLAQUEMINE,SHINTECH PLAQUEMINE PLANT,0,136
"Methane, tetrachloro-",56-23-5,iberville-la,PLAQUEMINE,SHINTECH PLAQUEMINE PLANT,0,136
"Methane, tetrachloro-",56-23-5,iberville-la,Plaquemine,The Dow Chemical Company,0,136
"Methane, tetrachloro-",56-23-5,iberville-la,SAINT GABRIEL,SYNGENTA CROP PROTECTION INC SAINT GABRIEL FACILITY,0,136
Octadecanoic acid,57-11-4,iberville-la,Plaquemine,"Georgia Gulf Chemicals & Vinyls, LLC",0,136
"8-Oxa-3,5-dithia-4-stannatetradecanoic acid, 10-ethyl-4-[[2-[(2-ethylhexyl)oxy]-2-o xoethyl",57583-34-3,iberville-la,Plaquemine,"Georgia Gulf Chemicals & Vinyls, LLC",0,136
"8-Oxa-3,5-dithia-4-stannatetradecanoic acid, 10-ethyl-4,4-dimethyl-7-oxo-, 2-ethylhexyl est",57583-35-4,iberville-la,Plaquemine,"Georgia Gulf Chemicals & Vinyls, LLC",0,136
"Octadecanoic acid, 1,1'-(1,2-ethanediyl) ester",627-83-8,iberville-la,Plaquemine,"Georgia Gulf Chemicals & Vinyls, LLC",0,136
"Ethane, 1,1,1,2-tetrachloro-",630-20-6,iberville-la,PLAQUEMINE,SHINTECH PLAQUEMINE PLANT,0,136
"Residues (petroleum), steam-cracked",64742-90-1,iberville-la,Plaquemine,The Dow Chemical Company,0,136
"Ethanaminium, 2-hydroxy-N,N,N-trimethyl-, chloride (1:1)",67-48-1,iberville-la,SAINT GABRIEL,BCP INGREDIENTS INC,0,136
