CNTYNAME,PSTL_CODE,DATE_COL,ELEVATION,UID,SITE_ID,LAT_DD83,LON_DD83
Shawnee,KS,4/30/2013,279.71,1002013,KSRS-1288,39.12843,-95.65402
Pima,AZ,5/6/2013,605.28,1002014,AZR9-0903,32.40882122,-111.1606295
Gila,AZ,5/7/2013,1860.93,1002015,AZSS-1115,34.33749,-111.0138
Clay,KS,5/6/2013,371.31,1002016,KSR9-0910,39.49523,-97.2319
Yavapai,AZ,5/8/2013,1090.26,1002017,AZLS-1055,34.86995,-112.0693
Cowley,KS,5/13/2013,352.17,1002018,KSRS-1270,37.17128,-96.84909
Butler,KS,5/14/2013,390.92,1002019,KSS9-0933,37.84409,-96.85665
Pima,AZ,5/20/2013,605.28,1002020,AZR9-0903,32.40882122,-111.1606295
Henry,KY,5/21/2013,132.31,1002021,KYRM-1006,38.51354,-85.02908
Sedgwick,KS,5/21/2013,411.83,1002022,KSR9-0902,37.8236,-97.46279
Carroll,KY,5/22/2013,128.02,1002023,KYRM-1002,38.68588,-85.17831
Hart,GA,5/21/2013,208.37,1002024,GAS9-0921,34.42897768,-82.90527557
Polk,GA,5/23/2013,369.25,1002025,GAS9-0915,33.92673274,-85.05046408
Westmoreland,PA,5/29/2013,224.9,1002026,PARM-1005,40.59864,-79.75119
Ohio,OH,5/28/2013,192.47,1002027,OHRM-1002,40.14887,-80.70356
Armstrong,PA,5/29/2013,234.28,1002028,PARM-1001,40.76001,-79.54689
Bergen,NJ,6/2/2013,51.81,1002029,NJS9-0908,41.04212,-74.0473
Yolo,CA,6/3/2013,3.08,1002030,CARM-1007,38.43501,-121.5249
Coconino,AZ,5/27/2013,866.86,1002031,AZR9-0902,36.43346223,-111.8640926
Coconino,AZ,5/30/2013,804.45,1002032,AZR9-0901,36.08766461,-111.8706113
San Joaquin,CA,6/4/2013,5.45,1002033,CARM-1003,37.90976,-121.3253
Essex,NJ,6/4/2013,1.17,1002034,NJRO-1019,40.75796,-74.16351
San Jacinto,TX,6/4/2013,17.1,1002035,TXR9-0907,30.57973,-94.99791
Washington,GA,6/4/2013,78.42,1002036,GAS9-0916,32.80115995,-82.92292172
Lancaster,NE,6/5/2013,347.18,1002037,NES9-0934,40.90226,-96.60626
Graham,KS,6/5/2013,644.93,1002038,KSRS-1261,39.35249,-99.83154
Ellis,KS,6/5/2013,517.8,1002039,KSRS-1277,39.04576,-99.04318
Roger Mills,OK,6/3/2013,582.48,1002040,OKR9-0901,35.92582,-99.51525
Tioga,PA,6/5/2013,379.39,1002041,PALS-1091,41.75655,-77.5552
Bergen,NJ,6/5/2013,13.28,1002042,NJLS-1043,40.91547,-74.08986
Kent,DE,6/5/2013,10.46,1002043,DELS-1036,38.85149,-75.66956
Nance,NE,6/4/2013,512.11,1002044,NES9-0923,41.41566,-98.08897
Platte,NE,6/3/2013,496.89,1002045,NES9-0930,41.67311,-97.67665
,WV,6/5/2013,,1002046,WVRF-0001,39.49549798,-78.30457442
Roger Mills,OK,6/4/2013,663.93,1002047,OKS9-0935,35.54539,-99.72271
Tioga,PA,6/6/2013,431.23,1002048,PAS9-0918,41.60763,-77.50377
Caroline,MD,6/6/2013,0.13,1002049,MDS9-0914,38.68908,-75.7699
Pike,NJ,6/6/2013,113.06,1002050,NJR9-0901,41.27242,-74.84022
Harris,TX,6/6/2013,26.06,1002051,TXS9-0926,29.91047,-95.49178
Passaic,NJ,6/7/2013,272.07,1002052,NJSS-1082,41.0507,-74.38407
Morris,NJ,6/9/2013,48.51,1002053,NJRO-1020,40.90745,-74.30466
Ramsey,MN,6/6/2013,243.24,1002054,MNSS-1171,44.94257,-93.02145
Indiana,PA,6/10/2013,275.15,1002056,PAS9-0923,40.52159,-79.39899
Sussex,NJ,6/11/2013,236.38,1002057,NJS9-0909,41.11046,-74.84292
Hall,NE,6/10/2013,577.79,1002058,NER9-0904,40.79966,-98.43775
Mohave,AZ,6/8/2013,439.39,1002059,AZRM-1002,35.9166,-113.3347
Allegany,MD,6/11/2013,242.3,1002060,MDRM-1003,39.44732,-78.97643
Clark,NV,6/10/2013,439.55,1002061,NVRM-1001,36.73991,-114.206
Tillman,OK,6/11/2013,396.29,1002062,OKR9-0909,34.59159,-99.02375
Comanche,OK,6/10/2013,380.55,1002063,OKS9-0931,34.83934,-98.306
Dawson,NE,6/11/2013,738.97,1002064,NELS-1074,40.84166,-99.74438
Forest,PA,6/11/2013,355.01,1002065,PALS-1090,41.51621,-79.32288
Osage,KS,6/10/2013,320.17,1002066,KSRS-1340,38.43482,-95.74648
Grant,ND,6/11/2013,669.89,1002067,NDSS-1103,46.31488,-101.6123
Dallas,TX,6/12/2013,122.73,1002068,TXSS-1216,32.78727,-96.87091
Cooke,TX,6/11/2013,232.4,1002069,TXS9-0928,33.75841,-97.29398
Wilson,KS,6/11/2013,234.96,1002070,KSR9-0906,37.39754,-95.67977
,WI,6/12/2013,,1002071,WIRF-0011,44.01212428,-89.78823892
McKean,PA,6/12/2013,577.83,1002072,PAS9-0922,41.65698,-78.61148
Sibley,MN,6/11/2013,281.99,1002073,MNS9-0933,44.51765,-94.02858
Middlesex,NJ,6/12/2013,1.25,1002074,NJR9-0902,40.5089,-74.46615
Greer,OK,6/12/2013,454.46,1002075,OKRO-1089,34.88904,-99.37742
Windham,VT,6/11/2013,65.86,1002076,VTR9-0901,42.79337,-72.52477
,WI,6/13/2013,,1002078,WIRF-0006,44.19707222,-90.73066755
Emmons,ND,6/12/2013,523.68,1002079,NDLS-1055,46.27863,-100.2429
Custer,CO,6/11/2013,2409.47,1002080,COS9-0934,38.06736595,-105.08476
Ventura,CA,5/29/2013,85.42,1002081,CAR9-0902,34.35671322,-119.0198808
Dallas,TX,6/13/2013,127.11,1002082,TXS9-0936,32.77924,-96.55449
Le Sueur,MN,6/12/2013,319.33,1002083,MNS9-0934,44.40724,-93.61883
Murray,MN,6/13/2013,433.42,1002084,MNSS-1175,44.17742,-95.60563
Las Animas,CO,6/13/2013,1327.77,1002085,COR9-0903,37.60461992,-103.6059701
Yuma,CO,6/14/2013,1085.48,1002086,COS9-0926,39.63865572,-102.1136539
Jefferson,CO,6/16/2013,1740.37,1002088,COS9-0929,39.54923086,-105.1317434
Lamoille,VT,6/17/2013,192.71,1002089,VTRS-1007,44.43994,-72.71384
Frederick,MD,6/17/2013,75.51,1002090,MDRO-1018,39.43248,-77.37975
,MO,6/18/2013,,1002091,MORF-0009,39.65361097,-94.22593174
Floyd,GA,6/18/2013,206.8,1002092,GAS9-0922,34.36679167,-85.08705529
Morton,ND,6/18/2013,521.29,1002093,NDR9-0907,46.79972,-101.1068
Roger Mills,OK,6/18/2013,582.48,1002094,OKR9-0901,35.92582,-99.51525
Hennepin,MN,6/18/2013,255.59,1002095,MNR9-0912,45.23426,-93.49636
,MI,6/18/2013,,1002096,MIRF-0004,44.6094056,-84.45637064
Frederick,MD,6/18/2013,61.78,1002097,MDRO-1015,39.26903,-77.44567
Trimble,KY,6/18/2013,137.04,1002098,KYS9-0919,38.62014,-85.41854
Osborne,KS,6/17/2013,449.02,1002099,KSR9-0904,39.42728,-98.53949
Custer,OK,6/18/2013,471.71,1002100,OKR9-0905,35.53,-99.13021
,MO,6/19/2013,,1002101,MORF-0004,38.47136765,-93.61712909
Harrison,OH,6/18/2013,295.17,1002102,OHS9-0919,40.37315,-81.21327
Shelby,AL,6/19/2013,152.1,1002103,ALSS-1063,33.35583,-86.60633
,MI,6/19/2013,,1002104,MIRF-0003,44.59138715,-85.07703432
Columbiana,OH,6/19/2013,309.19,1002105,OHS9-0914,40.70663,-80.79918
Buffalo,SD,6/19/2013,473.61,1002106,SDSS-1190,43.958,-99.04698
Orange,NH,6/19/2013,120.67,1002107,NHR9-0903,43.86581,-72.17822
Hartford,CT,6/19/2013,33.43,1002108,CTSS-1077,42.01009,-72.63232
Morgan,OH,6/18/2013,240.22,1002109,OHLS-1071,39.61589,-81.92661
Park,CO,6/18/2013,2853.49,1002110,COS9-0924,39.07659753,-106.0063979
Cherokee,GA,6/19/2013,325.25,1002111,GAS9-0919,34.30314742,-84.47051375
Mercer,ND,6/20/2013,593.24,1002112,NDSS-1106,47.18226,-101.7943
,UT,6/20/2013,,1002113,UTRF-0004,40.49275296,-112.5815753
Preble,OH,6/20/2013,254.37,1002114,OHSS-1125,39.57122,-84.66835
Tuscarawas,OH,6/20/2013,272.55,1002115,OHRO-1031,40.52083,-81.30616
,MI,6/20/2013,,1002116,MIRF-0002,44.14272478,-86.01193089
,MO,6/20/2013,,1002117,MORF-0005,40.11645947,-92.7620827
Ingham,MI,6/19/2013,264.57,1002118,MIS9-0923,42.5695,-84.5928
Kent,MI,6/20/2013,216.91,1002119,MISS-1136,42.82857,-85.6665
Harris,TX,6/20/2013,26.06,1002120,TXS9-0926,29.91047,-95.49178
Frederick,MD,6/21/2013,63.23,1002121,MDRO-1014,39.31389,-77.4119
Coosa,AL,6/20/2013,160.19,1002122,ALS9-0918,32.93231611,-86.36246869
Bibb,AL,6/21/2013,123.7,1002123,ALSS-1064,33.11467,-87.11905
