,Unnamed: 0_x,CNTYNAME,PSTL_CODE,YEAR,DATE,ELEVATION,UID,SITE,UNIQUE,LAT_DD83,LON_DD83,PUBLICATION,VISIT,EPA,STATE,COMID,PROTOCOL,PCTCLINOMETER,REALM,SURVEY_YRS,County-State,Unnamed: 0_y, FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,CI*Rank([rank note]),Lower CI (CI*Rank),Upper CI (CI*Rank),Average Annual Count,Recent Trend,Recent 5-Year Trend ([trend note]) in Incidence Rates,Lower 95% Confidence Interval.1,Upper 95% Confidence Interval.1,is_rising
0,0.0,Roger Mills,OK,2018.0,6/20/2018,663.935,2014737.0,NRS18_OK_10062,NRS_OK-10090,35.54538886,-99.72270533,3/24/2021,1,Region_06,OK,3142124.0,WADEABLE,0.0,WADEABLE,1819.0,roger mills-ok,3027.0,40129.0,* ,*, *,* , * , *,3 or fewer,*,*,*,*,0
1,9.0,Roger Mills,OK,2018.0,7/17/2018,582.48,2012496.0,NRS18_OK_10050,NRS_OK-10047,35.92581867,-99.51524603,3/24/2021,2,Region_06,OK,5265128.0,WADEABLE,0.0,WADEABLE,1819.0,roger mills-ok,3027.0,40129.0,* ,*, *,* , * , *,3 or fewer,*,*,*,*,0
2,75.0,Roger Mills,OK,2018.0,6/11/2018,582.48,2012562.0,NRS18_OK_10050,NRS_OK-10047,35.92581867,-99.51524603,3/24/2021,1,Region_06,OK,5265128.0,WADEABLE,0.0,WADEABLE,1819.0,roger mills-ok,3027.0,40129.0,* ,*, *,* , * , *,3 or fewer,*,*,*,*,0
3,1.0,Craig,OK,2018.0,6/25/2018,240.81,2012488.0,NRS18_OK_10431,NRS_OK-10206,36.90216839,-95.16425506,3/24/2021,1,Region_06,OK,21769803.0,WADEABLE,0.0,WADEABLE,1819.0,craig-ok,1842.0,40035.0,99.6,71.3,135.2,N/A ,2,67,8,stable,-1.1,-4.7,2.7,0
4,214.0,Craig,OK,2018.0,6/25/2018,237.05,2012725.0,NRS18_OK_10017,NRS_OK-10060,36.95134824,-95.03539369,3/24/2021,1,Region_06,OK,7584587.0,WADEABLE,0.0,WADEABLE,1819.0,craig-ok,1842.0,40035.0,99.6,71.3,135.2,N/A ,2,67,8,stable,-1.1,-4.7,2.7,0
5,2.0,Bryan,OK,2018.0,7/2/2018,140.37,2012489.0,NRS18_OK_10025,NRS_OK-10180,33.92944924,-96.0702418,3/24/2021,1,Region_06,OK,700772.0,WADEABLE,0.0,WADEABLE,1819.0,bryan-ok,1756.0,40013.0,101.1,84.5,119.8,N/A ,7,65,27,stable,1.2,-0.2,2.5,0
6,497.0,Bryan,OK,2018.0,7/25/2018,156.82,2013031.0,NRS18_OK_10019,NRS_OK-10177,33.84391936,-96.29824697,3/24/2021,1,Region_06,OK,8349849.0,WADEABLE,0.0,WADEABLE,1819.0,bryan-ok,1756.0,40013.0,101.1,84.5,119.8,N/A ,7,65,27,stable,1.2,-0.2,2.5,0
7,1405.0,Bryan,OK,2019.0,7/8/2019,140.84,2013985.0,NRS18_OK_10028,NRS_OK-10120,33.78371876,-96.17145104,3/24/2021,1,Region_06,OK,8350569.0,BOATABLE,0.0,BOATABLE,1819.0,bryan-ok,1756.0,40013.0,101.1,84.5,119.8,N/A ,7,65,27,stable,1.2,-0.2,2.5,0
8,1702.0,Bryan,OK,2019.0,7/30/2019,131.4,2014306.0,NRS18_OK_10030,NRS_OK-10123,33.87906995,-95.91292172,3/24/2021,1,Region_06,OK,8348965.0,BOATABLE,0.0,BOATABLE,1819.0,bryan-ok,1756.0,40013.0,101.1,84.5,119.8,N/A ,7,65,27,stable,1.2,-0.2,2.5,0
9,1863.0,Bryan,OK,2019.0,8/20/2019,140.84,2014479.0,NRS18_OK_10028,NRS_OK-10120,33.78371876,-96.17145104,3/24/2021,2,Region_06,OK,8350569.0,BOATABLE,0.0,BOATABLE,1819.0,bryan-ok,1756.0,40013.0,101.1,84.5,119.8,N/A ,7,65,27,stable,1.2,-0.2,2.5,0
10,3.0,Green,WI,2018.0,7/2/2018,241.03,2012490.0,NRS18_WI_10091,NRS_WI-10211,42.5368677,-89.39556013,3/24/2021,1,Region_05,WI,13426309.0,WADEABLE,0.0,WADEABLE,1819.0,green-wi,1413.0,55045.0,106.5,87.7,128.1,N/A ,3,66,23,stable,0.8,-0.9,2.6,0
11,1221.0,Green,WI,2019.0,6/13/2019,234.46,2013781.0,NRS18_WI_10054,NRS_WI-10202,42.52009499,-89.8124624,3/24/2021,1,Region_05,WI,13411094.0,BOATABLE,0.0,BOATABLE,1819.0,green-wi,1413.0,55045.0,106.5,87.7,128.1,N/A ,3,66,23,stable,0.8,-0.9,2.6,0
12,1350.0,Green,WI,2019.0,6/27/2019,249.01,2013926.0,NRS18_WI_10692,NRS_WI-10234,42.78492383,-89.47780006,3/24/2021,1,Region_05,WI,13425489.0,BOATABLE,0.0,BOATABLE,1819.0,green-wi,1413.0,55045.0,106.5,87.7,128.1,N/A ,3,66,23,stable,0.8,-0.9,2.6,0
13,1388.0,Green,WI,2019.0,7/2/2019,241.03,2013964.0,NRS18_WI_10695,NRS_WI-10237,42.68509251,-89.42526368,3/24/2021,1,Region_05,WI,13425733.0,BOATABLE,0.0,BOATABLE,1819.0,green-wi,1413.0,55045.0,106.5,87.7,128.1,N/A ,3,66,23,stable,0.8,-0.9,2.6,0
14,4.0,Marinette,WI,2018.0,7/12/2018,254.75,2012491.0,NRS18_WI_10006,NRS_WI-10087,45.49625722,-87.98249295,3/24/2021,1,Region_05,WI,6847893.0,WADEABLE,0.0,WADEABLE,1819.0,marinette-wi,636.0,55075.0,119.8,99.5,142.9,N/A ,1,60,25,stable,1.5,-0.3,3.4,0
