,fips,recent_trend_cat,predictions
0,1001,stable,2
1,1003,rising,1
2,1005,stable,2
4,1009,stable,2
7,1015,rising,1
9,1019,stable,2
10,1021,stable,2
11,1023,stable,2
12,1025,stable,2
15,1031,rising,1
16,1033,rising,1
17,1035,stable,2
19,1039,stable,2
21,1043,stable,2
22,1045,stable,2
23,1047,rising,1
24,1049,stable,2
25,1051,rising,1
26,1053,stable,2
27,1055,stable,2
28,1057,stable,2
29,1059,stable,2
35,1071,stable,2
36,1073,stable,2
37,1075,stable,2
39,1079,stable,2
42,1085,stable,1
44,1089,rising,1
45,1091,stable,2
46,1093,stable,2
47,1095,stable,2
48,1097,stable,2
49,1099,stable,2
50,1101,stable,2
51,1103,stable,2
54,1109,stable,2
56,1113,stable,2
57,1115,stable,2
58,1117,stable,2
60,1121,rising,2
62,1125,stable,2
63,1127,rising,2
64,1129,stable,2
65,1131,stable,2
69,2020,stable,2
74,2090,stable,2
77,2122,stable,2
84,2188,stable,1
90,4001,stable,2
91,4003,stable,2
92,4005,stable,2
93,4007,stable,2
94,4009,stable,2
95,4011,stable,2
97,4013,stable,2
98,4015,stable,2
100,4019,falling,2
101,4021,stable,2
103,4025,stable,2
104,4027,rising,1
105,5001,rising,1
106,5003,stable,2
108,5007,rising,1
116,5023,stable,2
118,5027,stable,2
119,5029,stable,2
125,5041,stable,2
128,5047,stable,2
130,5051,rising,1
131,5053,stable,2
133,5057,stable,2
134,5059,stable,2
136,5063,stable,2
138,5067,stable,2
139,5069,rising,1
140,5071,stable,2
144,5079,stable,2
145,5081,stable,2
146,5083,stable,2
147,5085,stable,2
148,5087,stable,2
151,5093,rising,2
156,5103,stable,2
158,5107,stable,2
162,5115,stable,2
164,5119,stable,2
167,5125,stable,2
170,5131,rising,1
174,5139,stable,2
176,5143,rising,1
177,5145,rising,2
180,6001,stable,2
185,6011,stable,2
186,6013,rising,1
189,6019,rising,1
191,6023,stable,2
192,6025,rising,1
194,6029,rising,1
198,6037,stable,2
199,6039,stable,2
203,6047,stable,1
206,6053,rising,1
209,6059,rising,2
210,6061,rising,1
212,6065,stable,2
213,6067,rising,1
215,6071,rising,1
216,6073,stable,2
217,6075,stable,2
218,6077,rising,1
219,6079,stable,2
222,6085,rising,2
227,6095,stable,2
229,6099,rising,1
233,6107,stable,2
234,6109,stable,2
235,6111,stable,2
236,6113,stable,2
238,8001,stable,2
239,8003,stable,2
240,8005,stable,2
244,8013,stable,2
248,8019,stable,2
254,8031,stable,2
256,8035,stable,2
259,8041,stable,2
260,8043,falling,2
261,8045,stable,2
263,8049,stable,2
268,8059,stable,2
271,8065,falling,2
272,8067,falling,2
273,8069,stable,2
276,8075,stable,2
277,8077,stable,2
279,8081,stable,1
280,8083,stable,2
282,8087,stable,2
289,8101,stable,2
300,8123,stable,2
301,8125,stable,2
302,9001,stable,2
303,9003,falling,2
304,9005,rising,1
306,9009,rising,2
307,9011,rising,1
308,9013,stable,2
310,10001,stable,2
311,10003,stable,2
312,10005,stable,2
313,12001,stable,2
314,12003,stable,2
315,12005,stable,2
318,12011,stable,2
321,12017,rising,1
322,12019,stable,2
324,12023,stable,2
327,12031,stable,2
328,12033,stable,2
334,12045,stable,2
335,12047,stable,2
338,12053,rising,1
340,12057,stable,2
347,12071,stable,2
354,12085,stable,2
355,12086,stable,2
357,12089,stable,1
360,12095,stable,2
361,12097,stable,2
362,12099,stable,2
363,12101,stable,2
364,12103,rising,2
365,12105,stable,2
366,12107,stable,2
368,12111,stable,2
369,12113,stable,2
371,12117,stable,1
373,12121,stable,2
374,12123,stable,2
377,12129,stable,2
380,13001,stable,2
384,13009,stable,2
386,13013,stable,2
387,13015,stable,2
389,13019,stable,1
390,13021,stable,2
396,13033,stable,2
401,13045,stable,2
404,13051,stable,2
406,13055,stable,2
407,13057,rising,2
408,13059,rising,1
410,13063,rising,1
412,13067,rising,1
