"COLUMN_NAME"	"SAMPLE_TYPE"	"LABEL"	"LEGAL_VALUES"
"AG_ECO3"	"DESIGN"	"NARS 3-level reporting region (2015), based on aggregating AGGR_ECO9_2015 reporting regions"	"EHIGH|PLNLOW|WMTNS"
"AG_ECO3"	"DESIGN"	"NARS 3-level reporting region (2015), based on aggregating AGGR_ECO9_2015 reporting regions"	"EHIGH|PLNLOW|WMTNS|"
"AG_ECO3_NM"	"DESIGN"	"NARS 3-level reporting region Name"	"Text names"
"AG_ECO3_NM"	"DESIGN"	"NARS 3-level reporting region name Text names. No missing values allowed."	"Eastern Highlands|Plains and Lowlands|West|"
"AG_ECO9"	"DESIGN"	"NARS 9-level reporting region (2015), based on aggregated Omernik Level III ecoregions"	"CPL|NAP|NPL|SAP|SPL|TPL|UMW|WMT|XER"
"AG_ECO9"	"DESIGN"	"NARS 9-level reporting region (2015), based on aggregated Omernik Level III ecoregions"	"CPL|NAP|NPL|SAP|SPL|TPL|UMW|WMT|XER|"
"AG_ECO9_NM"	"DESIGN"	"NARS 9-level reporting region Name"	"Text names"
"AG_ECO9_NM"	"DESIGN"	"NARS 9-level reporting region name Text names. No missing values allowed."	"Coastal Plains|Northern Appalachians|Northern Plains|Southern Appalachians|Southern Plains|Temperate Plains|Upper Midwest|Western Mountains|Xeric|"
"BORD_RIV"	"DESIGN"	"Reach occurs on state or country boundaries"	"Text of two postal codes: MM:NN where MM is one state and NN is other state the river is on the border. Blank if not a border river"
"BORD_RIV"	"DESIGN"	"State border river code For a border river, text of two postal codes: MM:NN, where MM is one state code and NN is other state code. Blank if not a border river."	
"CNTYNAME"	"DESIGN"	"County name (source ESRI counties based on census 2010)"	"Text Names"
"CNTYNAME"	"DESIGN"	"County name (source ESRI counties based on census 2010) Text Names"	
"COMID"	"DESIGN"	"NHD common identifier for NRSA sampling frame and subsequent designs."	"Numeric"
"COMID"	"DESIGN"	"NHD common identifier for NRSA sampling frame and subsequent designs."	
"DATE_COL"	"VERIF"	"Date of data collection in field"	
"DES_FTYPE"	"DESIGN"	"Design FTYPE created from FTYPE and other NHD-Plus features"	
"DES_FTYPE"	"DESIGN"	"NRSA design feature type (based on NHD feature type)"	
"DSGN_CYCLE"	"DESIGN"		"2000-04| 2008-09|2013-14|2018-19|"
"ELEVATION"	"DESIGN"	"Elevation at Stream site  (LAT_DD83, LON_DD83) from USGS elevation point query service (30 m elevation) http://ned.usgs.gov/epqs/"	"Numeric; may legitimately be negative"
"ELEVATION"	"DESIGN"	"Elevation at Stream site  (LAT_DD83, LON_DD83) from USGS elevation point query service (30 m elevation) http://ned.usgs.gov/epqs/ Numeric; may legitimately be negative"	
"ELEVATION"	"VERIF"	"Elevation at Transect A"	
"EPA_REG"	"DESIGN"	"EPA Region"	"Region_1 |  Region_2 | Region_3 | Region_4 | Region_5 | Region_6 | Region_7 | Region_8 | Region_9 | Region_10"
"EPA_REG"	"DESIGN"	"EPA Region"	"Region_01|Region_02|Region_03|Region_04|Region_05|Region_06|Region_07|Region_08|Region_09|Region_10|"
"EVAL_CAT"	"DESIGN"	"NRSA site evaluation result"	
"FCODE"	"DESIGN"	"NHD feature type code"	
"FCODE"	"DESIGN"	"NHD 5-digit code for feature type"	
"FED_NONFED"	"DESIGN"	"Federal or Non-Federal land, based on OWN_NARS. OWN_NARS in FWS, Other Fed, USFS, NPS, NOAA, BLM, DOD, BOR considered Federal and all others Non-Federal."	"Federal|Non-Federal"
"FEOW_ID"	"DESIGN"	"Freshwater Ecoregions of the World (2015) code"	"Numeric"
"FEOW_ID"	"DESIGN"	"Freshwater Ecoregions of the World (2015) code"	
"FRAME08"	"DESIGN"	"Stream reach is included or excluded from sample frame for the NRSA 2008-09 Target Population survey design"	"Exclude|Include| Not Present|"
"FRAME13"	"DESIGN"	"Stream reach is included or excluded from sample frame for the NRSA 2013-14 Target Population survey design"	"Exclude|Include| Not Present|"
"FRAME18"	"DESIGN"	"Stream reach is included or excluded from sample frame for the NRSA 2018-19 Target Population survey design"	"Exclude|Include|"
"FRAMEEW"	"DESIGN"	"Stream reach is included or excluded from sample frame for the EMAP West 2000-3 Target Population survey design."	"Exclude|Include| Not Present|"
"FRAMEWS"	"DESIGN"	"Stream reach is included or excluded from sample frame for the WSA 2004 Target Population survey design"	"Exclude|Include| Not Present|"
"FS_EW"	"DESIGN"	"Eastern or western US Forest Service land"	"East | West | blank if not US Forest Service land"
"FS_EW"	"DESIGN"	"Eastern or western US Forest Service land"	"East|West|Not_USFS|"
"FTYPE"	"DESIGN"	"HD feature type name"	
"FTYPE"	"DESIGN"	"NHD feature type"	
"GNIS_ID"	"DESIGN"	"Goegraphic Names Information System ID (from NHD)"	"Numeric"
"GNIS_ID"	"DESIGN"	"Goegraphic Names Information System ID (from NHD)"	
"GNIS_NAME"	"DESIGN"	"USGS Geographic Names Information System name"	"Text name"
"GNIS_NAME"	"DESIGN"	"USGS Geographic Names Information System name Text name"	
"HUC2"	"DESIGN"	"USGS Level 2 Hydrologic Unit Code where stream reach is located (based on NHDPlusV2 use of HUCs)"	"Alphanumeric: H01 to H20 with H03N :H 03S : H03W | H10L : H10U  where region coded preceded by letter H"
