"SAMPLE_TYPE"	"COLUMN_NAME"	"LABEL"	"LEGAL_VALUES"	"RANGE_LOW"	"RANGE_HIGH"
"DESIGN"	"AG_ECO9"	"NARS 9-level reporting region (2015), based on aggregated Omernik Level III ecoregions"	"CPL|NAP|NPL|SAP|SPL|TPL|UMW|WMT|XER|"		
"BERW"	"AMPHNTAX"	"No. of Amphipoda taxa"			
"BETB"	"AMPHNTAX"	"No. of Amphipoda taxa"			
"BERW"	"AMPHPIND"	"% Amphipoda individuals"			
"BETB"	"AMPHPIND"	"% Amphipoda individuals"			
"BERW"	"AMPHPTAX"	"% Amphipoda taxa"			
"BETB"	"AMPHPTAX"	"% Amphipoda taxa"			
"BERW"	"BURRNTAX"	"No. of Burrowers taxa"			
"BETB"	"BURRNTAX"	"No. of Burrowers taxa"			
"BERW"	"BURRPIND"	"% Burrowers individuals"			
"BETB"	"BURRPIND"	"% Burrowers individuals"			
"BERW"	"BURRPTAX"	"% Burrowers taxa"			
"BETB"	"BURRPTAX"	"% Burrowers taxa"			
"BERW"	"CHIRDOM1PIND"	"% individuals in most abundant distinct Chironomidae taxon"			
"BETB"	"CHIRDOM1PIND"	"% individuals in most abundant distinct Chironomidae taxon"			
"BERW"	"CHIRDOM3PIND"	"% individuals in most abundant 3 distinct Chironomidae taxa"			
"BETB"	"CHIRDOM3PIND"	"% individuals in most abundant 3 distinct Chironomidae taxa"			
"BERW"	"CHIRDOM5PIND"	"% individuals in most abundant 5 distinct Chironomidae taxa"			
"BETB"	"CHIRDOM5PIND"	"% individuals in most abundant 5 distinct Chironomidae taxa"			
"BERW"	"CHIRNTAX"	"No. of Chironomidae taxa"			
"BETB"	"CHIRNTAX"	"No. of Chironomidae taxa"			
"BERW"	"CHIRPIND"	"% Chironomidae individuals"			
"BETB"	"CHIRPIND"	"% Chironomidae individuals"			
"BERW"	"CHIRPTAX"	"% Chironomidae taxa"			
"BETB"	"CHIRPTAX"	"% Chironomidae taxa"			
"BERW"	"CLMBNTAX"	"No. of Climbers taxa"			
"BETB"	"CLMBNTAX"	"No. of Climbers taxa"			
"BERW"	"CLMBPIND"	"% Climbers individuals"			
"BETB"	"CLMBPIND"	"% Climbers individuals"			
"BERW"	"CLMBPTAX"	"% Climbers taxa"			
"BETB"	"CLMBPTAX"	"% Climbers taxa"			
"BERW"	"CLNGNTAX"	"No. of Clingers taxa"			
"BETB"	"CLNGNTAX"	"No. of Clingers taxa"			
"BERW"	"CLNGPIND"	"% Clingers individuals"			
"BETB"	"CLNGPIND"	"% Clingers individuals"			
"BERW"	"CLNGPTAX"	"% Clingers taxa"			
"BETB"	"CLNGPTAX"	"% Clingers taxa"			
"BERW"	"COFINTAX"	"No. of Collecter-filterer taxa"			
"BETB"	"COFINTAX"	"No. of Collecter-filterer taxa"			
"BERW"	"COFIPIND"	"% Collecter-filterer individuals"			
"BETB"	"COFIPIND"	"% Collecter-filterer individuals"			
"BERW"	"COFIPTAX"	"% Collecter-filterer taxa"			
"BETB"	"COFIPTAX"	"% Collecter-filterer taxa"			
"BERW"	"COFITRICNTAX"	"No. of Collector-filterer Trichoptera taxa"			
"BETB"	"COFITRICNTAX"	"No. of Collector-filterer Trichoptera taxa"			
"BERW"	"COFITRICPIND"	"% Collector-filterer Trichoptera individuals"			
"BETB"	"COFITRICPIND"	"% Collector-filterer Trichoptera individuals"			
"BERW"	"COFITRICPTAX"	"% Collector-filterer Trichoptera taxa"			
"BETB"	"COFITRICPTAX"	"% Collector-filterer Trichoptera taxa"			
"BERW"	"COGANTAX"	"No. of Collecter-gatherer taxa"			
"BETB"	"COGANTAX"	"No. of Collecter-gatherer taxa"			
"BERW"	"COGAPIND"	"% Collecter-gatherer individuals"			
"BETB"	"COGAPIND"	"% Collecter-gatherer individuals"			
"BERW"	"COGAPTAX"	"% Collecter-gatherer taxa"			
"BETB"	"COGAPTAX"	"% Collecter-gatherer taxa"			
"BERW"	"CRUSNTAX"	"No. of Crustaceans taxa"			
"BETB"	"CRUSNTAX"	"No. of Crustaceans taxa"			
"BERW"	"CRUSPIND"	"% Crustaceans individuals"			
"BETB"	"CRUSPIND"	"% Crustaceans individuals"			
"BERW"	"CRUSPTAX"	"% Crustaceans taxa"			
"BETB"	"CRUSPTAX"	"% Crustaceans taxa"			
"VERIF"	"DATE_COL"	"Date collected"	"|01|02|03|04|05|06|07|08|09|10|11|12"		
"BERW"	"DIPTNTAX"	"No. of Diptera taxa"			
"BETB"	"DIPTNTAX"	"No. of Diptera taxa"			
"BERW"	"DIPTPIND"	"% Diptera individuals"			
"BETB"	"DIPTPIND"	"% Diptera individuals"			
"BERW"	"DIPTPTAX"	"% Diptera taxa"			
"BETB"	"DIPTPTAX"	"% Diptera taxa"			
