"SAMPLE_TYPE"	"PARAMETER"	"LABEL"	"LEGAL_VALUES"	"LABEL_BOATABLE"	"LABEL_WADEABLE"
"DESIGN"	"AG_ECO9"	"NARS 9-level reporting region (2015), based on aggregated Omernik Level III ecoregions"	"CPL|NAP|NPL|SAP|SPL|TPL|UMW|WMT|XER|"		
"DESIGN"	"COMID"	"NHD common identifier for NRSA sampling frame and subsequent designs."			
"DESIGN"	"EPA_REG"	"EPA Region"	"Region_01|Region_02|Region_03|Region_04|Region_05|Region_06|Region_07|Region_08|Region_09|Region_10|"		
"DESIGN"	"SITE_ID"	"Site ID for the study and year sampled.  Preferred form is NRSnn_MM-xxxxx  where  nn is current cycle year (04, 08, 13, 18, etc), MM is two letter state code, and xxxxx is between 10001 and 99999. Text.  No missing values allowed."			
"VERIF"	"DATE_COL"	"Date of data collection in field"			
"VERIF"	"SITE_ID"	"Site ID"			
"VERIF"	"STATE"	"State of site"			
"VERIF"	"VISIT_NO"	"Number identifying which visit this is"	"|1|2"		
"VERIF"	"YEAR"	"Year of sampling"			
""	"UID"			"Unique site visit ID"	"Unique site visit ID"
""	"UID"			"Unique site visit ID"	"Unique site visit ID"
""	"UID"			"Unique site visit ID"	"Unique site visit ID"
""	"UNIQUE_ID"			"Unique site ID based on location that does not depend on year sampled or any other factor. Form is NRS_ss_nnnnn  where ss state and nnnnn is number that starts at 10001. No missing values allowed."	"Unique site ID based on location that does not depend on year sampled or any other factor. Form is NRS_ss_nnnnn  where ss state and nnnnn is number that starts at 10001. No missing values allowed."
"INTERPRETATION"	"BANGMODE"			"Mode of bank slope category (Zar 1984)"	"Mode of bank slope category (Zar 1984)"
"INTERPRETATION"	"BFWD_RAT"			"Bankfull Width/Depth Ratio"	"Bankfull Width/Depth Ratio"
"INTERPRETATION"	"C1TM100"			"Bankfull+above Channel Wood Count/100m Size=T+S+M+L+X (EPA/620/R-99/003 p53)"	"Bankfull+above Channel Wood Count/100m Size=T+S+M+L+X (EPA/620/R-99/003 p53)"
"INTERPRETATION"	"C1WM100"			"Bankfull Channel Wood Count/100m Size=T+S+M+L+X (EPA/620/R-99/003 p53)"	"Bankfull Channel Wood Count/100m Size=T+S+M+L+X (EPA/620/R-99/003 p53)"
"INTERPRETATION"	"C2TM100"			"Bankfull+above Channel Wood Count/100m Size=S+M+L+X (EPA/620/R-99/003 p53)"	"Bankfull+above Channel Wood Count/100m Size=S+M+L+X (EPA/620/R-99/003 p53)"
"INTERPRETATION"	"C2WM100"			"Bankfull Channel Wood Count/100m Size=S+M+L+X (EPA/620/R-99/003 p53)"	"Bankfull Channel Wood Count/100m Size=S+M+L+X (EPA/620/R-99/003 p53)"
"INTERPRETATION"	"C4TM100"			"Bankfull+above Channel Wood Count/100m Size=L+X (EPA/620/R-99/003 p53)"	"Bankfull+above Channel Wood Count/100m Size=L+X (EPA/620/R-99/003 p53)"
"INTERPRETATION"	"C4WM100"			"Bankfull Channel Wood Count/100m Size=L+X (EPA/620/R-99/003 p53)"	"Bankfull Channel Wood Count/100m Size=L+X (EPA/620/R-99/003 p53)"
"INTERPRETATION"	"CONFEATURES"			"Channel constraining Features"	"Channel constraining Features"
"INTERPRETATION"	"CONPATTERN"			"Channel pattern"	"Channel pattern"
"INTERPRETATION"	"CONPERCENT"			"Percent of Reach Constrained L or R"	"Percent of Reach Constrained L or R"
"INTERPRETATION"	"CONSTRAINT"			"Channel constraint type"	"Channel constraint type"
